model,question_id,concept,difficulty,outcome,done_reason,iterations,tool_calls_total,cost_usd,duration_ms,retried
anthropic/claude-opus-4.8,compare-easy-1,compare,easy,pass,complete,2,2,0.100560,11575,false
anthropic/claude-opus-4.8,compare-easy-2,compare,easy,pass,complete,1,0,0.040507,2936,false
anthropic/claude-opus-4.8,compare-easy-3,compare,easy,pass,complete,3,4,0.130617,8845,false
anthropic/claude-opus-4.8,compare-easy-4,compare,easy,pass,complete,3,2,0.097757,9471,false
anthropic/claude-opus-4.8,compare-easy-5,compare,easy,pass,complete,1,0,0.042054,4641,false
anthropic/claude-opus-4.8,compare-easy-6,compare,easy,pass,complete,2,2,0.096050,6205,false
anthropic/claude-opus-4.8,compare-hard-1,compare,hard,pass,complete,3,4,0.207497,22945,false
anthropic/claude-opus-4.8,compare-hard-2,compare,hard,pass,complete,2,2,0.099286,10337,false
anthropic/claude-opus-4.8,compare-hard-3,compare,hard,pass,complete,3,6,0.157605,16394,false
anthropic/claude-opus-4.8,compare-hard-4,compare,hard,pass,complete,2,1,0.095103,9865,false
anthropic/claude-opus-4.8,compare-hard-5,compare,hard,pass,complete,2,2,0.099057,8319,false
anthropic/claude-opus-4.8,compare-hard-6,compare,hard,pass,complete,2,3,0.098840,11797,false
anthropic/claude-opus-4.8,compare-medium-1,compare,medium,pass,complete,3,3,0.139261,9983,false
anthropic/claude-opus-4.8,compare-medium-2,compare,medium,pass,complete,2,3,0.070449,10771,false
anthropic/claude-opus-4.8,compare-medium-3,compare,medium,pass,complete,2,1,0.108289,11676,false
anthropic/claude-opus-4.8,compare-medium-4,compare,medium,pass,complete,4,5,0.159884,13050,false
anthropic/claude-opus-4.8,compare-medium-5,compare,medium,pass,complete,2,2,0.102213,9981,false
anthropic/claude-opus-4.8,qa-easy-1,qa,easy,pass,complete,2,1,0.081936,4052,false
anthropic/claude-opus-4.8,qa-easy-2,qa,easy,pass,complete,3,2,0.139168,7413,false
anthropic/claude-opus-4.8,qa-easy-3,qa,easy,pass,complete,3,3,0.097472,6717,false
anthropic/claude-opus-4.8,qa-easy-4,qa,easy,pass,complete,2,1,0.049226,3924,false
anthropic/claude-opus-4.8,qa-easy-5,qa,easy,pass,complete,3,2,0.128365,5244,false
anthropic/claude-opus-4.8,qa-easy-6,qa,easy,pass,complete,3,2,0.165186,16025,false
anthropic/claude-opus-4.8,qa-hard-1,qa,hard,pass,complete,2,1,0.088996,6754,false
anthropic/claude-opus-4.8,qa-hard-2,qa,hard,pass,complete,4,4,0.140677,22226,false
anthropic/claude-opus-4.8,qa-hard-3,qa,hard,pass,complete,3,2,0.134503,7813,false
anthropic/claude-opus-4.8,qa-hard-4,qa,hard,pass,complete,3,4,0.152858,18085,false
anthropic/claude-opus-4.8,qa-hard-5,qa,hard,pass,complete,3,2,0.100442,8071,false
anthropic/claude-opus-4.8,qa-hard-6,qa,hard,pass,complete,3,2,0.129175,9309,false
anthropic/claude-opus-4.8,qa-medium-1,qa,medium,pass,complete,3,2,0.123774,6815,false
anthropic/claude-opus-4.8,qa-medium-2,qa,medium,pass,complete,3,3,0.159680,8895,false
anthropic/claude-opus-4.8,qa-medium-3,qa,medium,pass,complete,4,3,0.176717,7494,false
anthropic/claude-opus-4.8,qa-medium-4,qa,medium,pass,complete,3,2,0.136421,7216,false
anthropic/claude-opus-4.8,qa-medium-5,qa,medium,pass,complete,2,1,0.081664,3768,false
anthropic/claude-opus-4.8,qa-medium-6,qa,medium,pass,complete,5,6,0.216127,15917,false
anthropic/claude-opus-4.8,search-easy-1,search,easy,pass,complete,2,1,0.089299,5264,false
anthropic/claude-opus-4.8,search-easy-2,search,easy,pass,complete,2,1,0.089305,5603,false
anthropic/claude-opus-4.8,search-easy-3,search,easy,pass,complete,2,1,0.083359,4719,false
anthropic/claude-opus-4.8,search-easy-4,search,easy,pass,complete,3,2,0.096781,7505,false
anthropic/claude-opus-4.8,search-easy-5,search,easy,pass,complete,2,1,0.057005,6083,false
anthropic/claude-opus-4.8,search-easy-6,search,easy,pass,complete,2,1,0.091007,6492,false
